city,state,latitude,longitude
Lake Daniel,NC,36.08264,-79.8117
Lake Ellen,NC,35.94653,-79.05251
Lake Ellsworth,NC,35.59044,-77.41636
Lake Forest,NC,35.21126,-80.7184
Lake Forest Estates,NC,35.92987,-79.03557
Lake Glenwood,NC,35.57516,-77.30941
Lake Haven,NC,35.14487,-80.68729
Lake Junaluska,NC,35.52788,-82.95958
Lake Landing,NC,35.47989,-76.0763
Lake Lure,NC,35.4279,-82.20483
Lake Lure Mountain Estates,NC,35.50484,-82.17067
Lake Neighborhood,NC,35.89127,-75.92019
Lake Norman of Catawba,NC,35.5868,-80.95952
Lake Park,NC,35.08626,-80.63507
Lake Rugby,NC,35.35706,-82.53345
Lake Shores,NC,35.06572,-78.99197
Lake Street Apartments,NC,35.30541,-81.53731
Lake Toxaway,NC,35.13232,-82.93403
Lake Valley,NC,35.08627,-78.96781
Lake View,NC,36.2232,-78.28361
Lake Waccamaw,NC,34.31906,-78.50001
Lake Wood,NC,35.21708,-81.16452
Lake Worth,NC,35.69684,-75.77379
Lake and Shores Estates,NC,34.73849,-76.7641
Lake in the Pine,NC,35.36292,-80.03616
Lakecrest,NC,35.09877,-78.90947
Lakedale,NC,35.02489,-78.89891
Lakeland Hills,NC,35.19598,-80.65201
Lakemont,NC,35.84654,-78.63556
Lakeside,NC,35.80264,-80.89591
Lakeside Village,NC,35.31877,-78.5939
Lakestone,NC,35.83404,-78.65667
Lakeview,NC,36.15514,-79.42335
Lakeview Acres,NC,36.10986,-79.25029
Lakeview Estates,NC,36.13153,-79.38419
Lakewood,NC,36.14125,-79.69447
Lakewood Estates,NC,35.30489,-78.02777
Lakewood Pines,NC,35.58572,-77.38135
Lakewoods,NC,35.8957,-79.10723
Lambert,NC,35.31348,-80.35951
Lambshire Downs,NC,35.86015,-78.68056
Lamm,NC,35.76377,-78.00943
Lamm Crossroads,NC,35.9096,-78.06638
Lamms Crossroads,NC,35.67516,-78.03721
Lambs Corner,NC,36.37988,-76.22188
Lancaster Crossroads,NC,36.06265,-78.08277
Lancaster,NC,35.85821,-77.69303
Landis,NC,35.54569,-80.6109
Lands End,NC,34.65266,-77.07661
Landsdown,NC,35.29374,-81.46537
Landsdowne,NC,35.14598,-80.78201
Lane,NC,35.19766,-78.77752
Langley Crossroads,NC,35.90488,-77.90443
Langley Place,NC,34.79433,-79.4381
Langley Place Mobile Home Park,NC,34.79738,-79.43227
Langley,NC,35.63683,-77.32107
Langston,NC,35.41544,-77.9386
Lansing,NC,36.49929,-81.51094
Lanvale,NC,34.20378,-78.05694
Lasker,NC,36.35015,-77.30552
Lassiter,NC,35.91015,-78.42444
Lassiter Crossroads,NC,36.37154,-77.30441
Last Chance,NC,35.45239,-76.07546
Latham,NC,35.6035,-77.13412
Larry Hall,NC,36.18375,-79.09529
Latham Park,NC,36.09041,-79.80114
Latham Town,NC,36.05097,-79.84448
Lattimore,NC,35.31818,-81.66065
Lauada,NC,35.37287,-83.50405
Lauradale,NC,34.80211,-77.45469
Laurel,NC,36.17987,-78.1886
Laurel Bluffs,NC,36.48208,-79.85254
Laurel Falls,NC,35.23428,-82.76457
Laurel Hill,NC,35.55458,-81.50287
Laurel Hollow,NC,35.93402,-81.39315
Laurel Lake Estates,NC,35.30956,-82.6679
Laurel Park,NC,35.31373,-82.49345
Laurel Park Villas,NC,35.31067,-82.48401
Laurel Rock Acres,NC,35.28428,-82.48012
Laurel Springs,NC,36.41152,-81.26287
Laurel Wood Hills,NC,35.67291,-79.79503
Laurelwood Hills,NC,35.5396,-78.35278
Laurin Lake,NC,34.73933,-79.51311
Laurinburg,NC,34.77405,-79.46282
Lavinia (historical),NC,35.43205,-82.92513
Lawarence Hights,NC,35.28183,-77.57136
Lawndale,NC,35.41402,-81.56315
Lawndale Homes,NC,36.03486,-79.82337
Lawrence,NC,36.01432,-77.49886
Laws,NC,36.23986,-79.11862
Lawsons Mill,NC,35.10877,-77.69164
Lawsonville,NC,36.39291,-79.56364
Lawyers Station,NC,35.1807,-80.67007
Laxon,NC,36.23541,-81.54622
LeMar Park,NC,35.9343,-81.49315
Leaksville (historical),NC,36.50208,-79.77254
Leander,NC,36.28651,-81.85873
Leasburg,NC,36.39458,-79.15446
Leatherman,NC,35.28537,-83.37821
Lebanon Heights,NC,35.16487,-80.93785
Lee Acres,NC,36.08402,-79.47613
Ledger,NC,35.96429,-82.12957
Lee Wood,NC,34.96987,-80.5184
Leechville,NC,35.57072,-76.50271
Lee Walker Hots,NC,35.58261,-82.55263
Lees Mill,NC,35.32461,-78.41417
Leesville,NC,35.90709,-78.72612
Legend Hills,NC,35.67043,-78.55
Leggett,NC,35.99099,-77.58303
Legerwood,NC,36.0143,-81.51982
Leggett Crossroads,NC,34.44155,-79.08726
Leggetts Crossroads,NC,35.68127,-77.16024
Legion Park,NC,35.01044,-78.90669
Leicester,NC,35.65511,-82.69624
Leland,NC,34.25628,-78.04471
Lena,NC,34.90906,-78.79363
Lennon Crossroads,NC,33.99712,-78.235
Lennons Crossroads,NC,34.4735,-78.85419
Lenoir,NC,35.91402,-81.53898
Lenoir (historical),NC,36.03541,-81.47815
Lemon Springs,NC,35.3896,-79.19447
Lenoir Pines,NC,35.29183,-77.60025
Lenox Castle,NC,36.30097,-79.55447
Lenoxville,NC,34.71072,-76.62715
Leon,NC,35.02905,-77.81998
Lester (historical),NC,36.32374,-81.25176
Letha (historical),NC,36.19182,-78.35222
Letitia,NC,35.04397,-84.14852
Level Cross,NC,35.88902,-79.80781
Leviva,NC,36.39791,-79.57975
Lewis,NC,36.37598,-78.59472
Lewis Crossroads,NC,36.33237,-77.75248
Lewis Point,NC,35.98821,-76.07076
Lewiston Woodville,NC,36.12293,-77.17663
Lewisville,NC,36.09708,-80.41922
Lewisville Trails,NC,36.0893,-80.44506
Lewters Crossroad,NC,36.50404,-77.25636
Lexington,NC,35.82403,-80.25338
Liberia,NC,36.35654,-78.09638
Liberty,NC,35.12313,-84.29409
Liberty Hill,NC,35.33653,-79.99589
Liberty Hill (historical),NC,35.86375,-80.96758
Liberty Hill Park,NC,35.26711,-77.56302
Lewisburg,NC,35.99455,-82.39236
Lickskillet,NC,35.04759,-83.28126
Liddell,NC,35.17461,-77.81276
Light,NC,35.81986,-80.09754
Light Nixon Fork,NC,36.13266,-76.49355
Light Oak,NC,35.28485,-81.47675
Liledoun,NC,35.89847,-81.21814
Lilesville,NC,34.96765,-79.9845
Lillington,NC,35.39933,-78.81585
Lilliput Landing,NC,35.06071,-77.06467
Lilly,NC,36.48543,-76.30272
Lima,NC,35.19738,-77.13551
Lime Rock (historical),NC,36.27236,-80.59673
Linberry,NC,35.85041,-79.70447
Lincoln Forest,NC,34.20934,-77.90165
Lincoln Heights,NC,34.78211,-79.44671
Lincoln Park,NC,35.08655,-79.47198
Lincolnton,NC,35.47375,-81.25453
Lindell,NC,35.54933,-77.81248
Linden,NC,35.25489,-78.74724
Lindley Park,NC,36.06902,-79.83225
Line Runner Ridge,NC,35.11067,-82.78958
Lineberger Acres,NC,35.82597,-80.3145
Linville,NC,36.06652,-81.87039
Linville Falls,NC,35.95929,-81.94289
Linwood,NC,35.75069,-80.31783
Linwood Park,NC,35.56039,-82.51846
Lions Gate,NC,34.22323,-77.82693
Linville River (historical),NC,35.79263,-81.51065
Lisbon,NC,34.51712,-78.52695
Listening Rock,NC,36.55706,-81.63984
Listers Corner,NC,36.14155,-76.17132
Litchford Forest,NC,35.86404,-78.59972
Lithia Springs,NC,35.45847,-81.22675
Little Baltimore,NC,35.28627,-77.75581
Little Easonburg,NC,35.96599,-77.87109
Little Kelly,NC,34.46433,-77.95193
Little Kinnakeet,NC,35.40657,-75.49154
Little Lake Hill,NC,35.80432,-78.6775
Little Port,NC,34.88211,-76.33547
Little Prong,NC,34.10406,-78.50834
Little River,NC,35.8893,-81.3062
Little Richmond,NC,36.29486,-80.75757
Little Rock Creek (historical),NC,36.05401,-82.16513
Little Switzerland,NC,35.84929,-82.09039
Littles Quarters,NC,34.82266,-80.19923
Littleton,NC,36.43459,-77.91193
Livingstons Quarters,NC,34.79377,-79.56116
Lizzie,NC,35.50655,-77.61692
Lizard Lick,NC,35.81654,-78.375
Loafers Glory,NC,36.01317,-82.18735
Lobelia,NC,35.21321,-79.20364
Loch Lommond,NC,35.06961,-79.00753
Lochaven,NC,35.77765,-78.80112
Lochnora,NC,35.98848,-78.99084
Lock (historical),NC,35.61097,-80.5184
Lloyd Crossroads,NC,36.2796,-76.72523
Lockeland,NC,35.66486,-80.51284
Lockewood,NC,35.24653,-80.82674
Lockwood,NC,35.06072,-78.92058
Locust,NC,35.25987,-80.42534
Locust Hill,NC,36.36264,-79.44613
Loehencove Ridge,NC,35.20095,-82.74152
Loftin Farms,NC,35.37542,-80.18145
Loftins Crossroads,NC,35.19989,-77.56136
Lodonberry Estates,NC,35.98347,-80.04754
Logan,NC,35.42735,-81.89927
Logan Street Public Housing,NC,35.30124,-81.53148
Logsboro,NC,35.96654,-77.57303
Lola,NC,34.95794,-76.27936
Lomax,NC,36.29347,-81.00091
Lone Hickory,NC,36.05791,-80.71701
Long Acres,NC,34.78127,-77.41024
Long Beach,NC,33.91045,-78.11777
Long Bluff Landing,NC,34.4235,-78.13722
Long Creek,NC,34.44211,-78.00971
Long Hill,NC,36.4168,-80.52062
Long Island,NC,35.67791,-80.99341
Long Leaf Acres,NC,34.24461,-77.84971
Long Pine,NC,34.82404,-80.22562
Long Ridge,NC,35.809,-82.54374
Long Shoals,NC,35.41486,-81.24036
Long View,NC,34.47517,-78.20222
Longhurst,NC,36.42514,-78.96695
Longs Store,NC,36.41403,-79.07807
Longtown,NC,35.76902,-81.90205
Longview,NC,35.7293,-81.38342
Longview Acres,NC,36.07264,-79.48391
Longwood,NC,34.0035,-78.54223
Lookout (historical),NC,35.02293,-79.93811
Loray,NC,35.8168,-80.96813
Loray Mills,NC,35.26375,-81.20536
Lost Cove,NC,36.07094,-82.40236
Louisburg,NC,36.09904,-78.30111
Love Field,NC,35.35788,-83.20153
Love Grove,NC,34.25211,-77.93082
Love Park,NC,35.26847,-81.17202
Lovejoy,NC,35.42264,-79.91949
Lovelace (historical),NC,36.07236,-80.95369
Love Valley,NC,35.98986,-80.98813
Lovelady (historical),NC,35.79458,-81.56843
Lovill,NC,36.23485,-81.73344
Low Gap,NC,35.87206,-82.2979
Lowell,NC,35.26792,-81.10285
Lowell Mill,NC,35.56655,-78.16083
Lowe,NC,34.64905,-79.1017
Lowes Grove,NC,35.90348,-78.8889
Lowesville,NC,35.41708,-81.01119
Lowgap,NC,36.52569,-80.8673
Lowland,NC,35.29906,-76.56437
Lowrys,NC,34.86877,-80.17812
Luart,NC,35.41516,-78.88724
Lucama,NC,35.64544,-78.00971
Lucia,NC,35.38486,-81.01063
Luck,NC,35.73594,-82.86625
Ludwick Acres,NC,35.66264,-80.49117
Lukens,NC,34.97072,-76.57409
Lumber Bridge,NC,34.8885,-79.07225
Lumber Mill,NC,36.30905,-76.25466
Lumberton,NC,34.61834,-79.01045
Lumptown,NC,35.8926,-82.72542
Lunday,NC,35.95428,-82.19512
Lupton,NC,34.96155,-76.28213
Luther,NC,35.53594,-82.7368
Lyman,NC,34.85794,-77.7472
Lynch (historical),NC,35.81732,-82.89153
Lynch Beach,NC,35.16017,-76.68632
Lynchs Corner,NC,36.42293,-76.42105
Lynn,NC,35.22845,-82.23456
Lyndale Acres,NC,35.91738,-77.53969
Lynn Crossroads,NC,35.92598,-78.76139
Lynn Lee,NC,35.31209,-80.80368
Lynnbrook Estates,NC,36.22848,-78.47083
Lynndale,NC,35.57377,-77.38024
Lynndale Estates,NC,35.86821,-78.65667
Lynwood Estates,NC,35.78487,-78.52417
Mabel,NC,36.31735,-81.76872
MacDonald Woods,NC,35.75487,-78.76778
MacGregor Downs,NC,35.74654,-78.80362
MacGregor Park,NC,35.73654,-78.80556
Macclesfield,NC,35.7521,-77.66998
Macedonia,NC,35.74571,-78.73751
Mack (historical),NC,35.36651,-82.00983
Machpelah,NC,35.44736,-81.0723
Mackeys,NC,35.9335,-76.61105
Macks Village,NC,35.62766,-78.71918
Macland,NC,34.73849,-79.49144
Maco,NC,34.28711,-78.14611
Macon,NC,36.43876,-78.08388
Madison,NC,36.38542,-79.95949
Madison Park,NC,36.41597,-78.97223
Madison Woods,NC,36.08458,-79.88253
Maggie Valley,NC,35.51816,-83.09764
Magnolia,NC,34.89656,-78.05415
Maiden,NC,35.57569,-81.21175
Maine,NC,35.93125,-80.54562
Makatoka,NC,34.1185,-78.40723
Makleyville,NC,35.46072,-76.54548
Malibu Valley,NC,35.68765,-78.60639
Mallard Lakes,NC,36.18625,-80.32505
Malmo,NC,34.266,-78.09888
Malonee Mill,NC,35.22787,-83.40904
Malpass Corner,NC,34.50239,-78.05666
Maltby,NC,35.15647,-83.95824
Malvern Hills,NC,35.56733,-82.60957
Mamers,NC,35.41682,-78.93335
Mamie,NC,36.12794,-75.83713
Manchester,NC,35.19266,-78.98642
Mandale,NC,35.8532,-79.27307
Mandy Farms,NC,34.73544,-76.7516
Mangum Store,NC,36.19375,-78.82834
Mangum,NC,35.12293,-79.98728
Manly,NC,35.18571,-79.3717
Manning Park,NC,35.0796,-77.12134
Manns Harbor,NC,35.88572,-75.76268
Manor Hill,NC,35.98236,-79.0789
Manson,NC,36.42181,-78.28305
Manteo,NC,35.90823,-75.67573
Mansfield,NC,34.73238,-76.78632
Maple,NC,36.41488,-76.00409
Maple Grove,NC,36.00541,-81.72649
Maple Grove Acres,NC,36.04069,-79.37724
Maple Hill,NC,34.66128,-77.69636
Maple Springs,NC,36.17485,-81.37843
Maplecypress,NC,35.326,-77.29913
Mapleton,NC,36.42682,-77.03468
Mapleville,NC,36.07654,-78.22722
Maplewood,NC,34.9246,-79.75395
Maplewood Forest,NC,35.75321,-78.60278
Mar-Mac,NC,35.33488,-78.05582
Mar-Mac Village,NC,35.34655,-78.03249
Marble,NC,35.17509,-83.92491
Maple Valley,NC,35.88652,-81.47593
Margaret,NC,36.02487,-78.2261
Maready,NC,34.806,-77.78748
Maribel,NC,35.16683,-76.7066
Marietta,NC,34.36878,-79.12226
Margarettsville,NC,36.53126,-77.34886
Marion,NC,35.68401,-82.00927
Marines,NC,34.57878,-77.36329
Mariposa,NC,35.41458,-81.0623
Mark Pine,NC,34.20322,-78.63001
Mark View,NC,36.07402,-79.51308
Markwood,NC,35.83515,-78.67695
Marlboro,NC,34.38933,-77.89304
Marlboro Forest,NC,35.58544,-77.61164
Marler,NC,36.12763,-80.82035
Marlwood Acre,NC,35.20042,-80.70868
Marmaduke,NC,36.34737,-78.06916
Marman Terrace,NC,34.88016,-76.93161
Marquis Hills,NC,34.14045,-77.90304
Mars Hill,NC,35.8265,-82.5493
Marshall,NC,35.79733,-82.68403
Marshallberg,NC,34.72794,-76.51576
Marshville,NC,34.98849,-80.36701
Marston,NC,34.98821,-79.58227
Martin (historical),NC,36.20236,-80.98424
Martha,NC,35.61097,-80.01866
Martindale (historical),NC,35.31792,-80.94424
Martindale Acres,NC,36.06291,-79.37724
Martins Creek,NC,35.02508,-84.03074
Martins Store,NC,35.85014,-80.49728
Marvin,NC,34.99182,-80.81479
Mary Beth Park,NC,35.24433,-77.61553
Marydell,NC,35.93653,-78.96029
Marys Beach,NC,36.16182,-76.75412
Marywood,NC,36.06514,-78.95362
Masequetuc (historical),NC,36.16683,-76.08298
Marys Grove,NC,35.34069,-81.38314
Mashoes,NC,35.95628,-75.80296
Masonboro,NC,34.17934,-77.84748
Masons Crossroads,NC,34.7346,-79.56144
Masontown,NC,34.81155,-76.88661
Matkins,NC,36.25458,-79.51891
Matney,NC,36.19179,-81.81094
Matrimony,NC,36.52042,-79.86754
Matthew (historical),NC,35.75097,-80.86507
Matthews,NC,35.11681,-80.72368
Matthews Crossroads,NC,36.06071,-78.03693
Matthews Park,NC,35.10209,-80.6934
Maury,NC,35.48211,-77.58608
Mavaton,NC,36.17405,-76.64217
Maxton,NC,34.73516,-79.34893
Maxwell Mill,NC,35.43012,-82.36151
Mayfair,NC,35.05711,-78.99003
Mayfield,NC,35.81874,-81.48148
Mayhew,NC,35.56375,-80.91257
Mayodan,NC,36.41236,-79.96699
Mayos Crossroads,NC,35.86071,-77.38636
Mays Crossroads,NC,36.01543,-78.44139
Maysville,NC,34.90488,-77.23134
Mayview Acres,NC,36.11291,-81.13925
Mayview Park,NC,36.13041,-81.68622
Mayville Crossing,NC,34.70711,-78.84252
Mazeppa,NC,35.64181,-80.78063
McAdenville,NC,35.25931,-81.07535
McAdoo Heights,NC,36.10097,-79.78531
McArthur Crossroads,NC,34.71822,-79.4881
McArthur Estates,NC,34.84183,-77.46885
McArthur Manor,NC,35.35516,-78.00527
McBryde Farm,NC,34.77794,-79.43755
McCain,NC,35.06072,-79.34559
McCall Heights,NC,35.63958,-80.45311
McClure Mill,NC,35.08204,-83.38932
McConnell,NC,35.46431,-79.50919
McCracken Heights,NC,35.49682,-79.1828
McCrary Acres,NC,35.22623,-82.71735
McCray,NC,36.17236,-79.38613
McCullen,NC,35.1035,-78.27972
McCullers Crossroads,NC,35.66515,-78.69917
McCullers,NC,35.66099,-78.69584
McDade,NC,36.18931,-79.17057
McDaniels,NC,34.8835,-78.44695
McDonald Mill,NC,35.06454,-83.40265
McDonald,NC,34.55405,-79.17559
McFarlan,NC,34.81238,-79.9759
McFarland,NC,35.01405,-79.40559
McGee Mill,NC,35.50377,-78.59751
McGee Crossroads,NC,35.5171,-78.57918
McGehees Mill,NC,36.51681,-79.02862
McGinnis Crossroads,NC,35.21234,-82.00011
McGrady,NC,36.34346,-81.22481
McGuires,NC,35.30231,-83.99574
McGowans Crossroads,NC,35.52377,-77.30663
McKenzie Acres East,NC,34.73349,-79.4581
McKenzie Woods,NC,34.33878,-78.69974
McKinney Cove,NC,36.02845,-82.14401
McKoy,NC,35.26322,-78.48779
McLamb Crossroads,NC,35.20017,-78.38528
McLaurin Acres,NC,34.7821,-79.48088
McLeansville,NC,36.10736,-79.65864
McMillan,NC,34.8785,-78.95281
McNair Crossing,NC,35.91155,-77.59497
McPherson Estates,NC,35.0535,-78.93753
Meadow Brook,NC,35.93904,-77.76359
Meadow Brook Village,NC,35.67458,-81.38259
Meadow Estates,NC,36.08848,-78.97779
Meadow Park,NC,35.46793,-79.12863
Meadow Summit,NC,36.51125,-79.72976
Meadow View,NC,35.84041,-80.83813
Meadow Wood Acres,NC,36.41486,-79.6917
Meadowbrook,NC,35.63127,-77.3683
Meadowbrook Estates,NC,35.37931,-80.17145
Meadowood,NC,35.30124,-81.50064
Meadowood Homes,NC,36.02541,-79.86309
Meadows,NC,36.36958,-80.18171
Meadowview,NC,35.80542,-80.28227
Meat Camp,NC,36.29957,-81.6765
Mebane,NC,36.09597,-79.26696
Mechanic,NC,35.65319,-79.92893
Medfield,NC,35.80654,-78.74528
Medfield Estates,NC,35.80487,-78.75862
Melanchton,NC,35.8468,-79.64419
Melborne Heights,NC,35.96375,-79.96504
Melrose,NC,35.21956,-82.32262
Melville,NC,36.0218,-79.33335
Menola,NC,36.33904,-77.12885
Mercer,NC,35.83682,-77.69303
Mercer Landing,NC,33.96517,-78.24028
Meredith Square,NC,35.80542,-80.25116
Meredith Townes,NC,35.82154,-78.70334
Merrimont,NC,35.76016,-77.94693
Merritt,NC,35.09794,-76.71437
Merriweather Estates,NC,36.02958,-80.16032
Merry Hill,NC,36.01183,-76.77245
Merry Oaks,NC,35.64182,-79.00751
Mertie (historical),NC,36.30374,-81.23787
Mesic,NC,35.20045,-76.64382
Merrimon,NC,34.94933,-76.63937
Metcalf,NC,35.36402,-81.57676
Method,NC,35.79487,-78.69278
Mewborns Crossroads,NC,35.34627,-77.59275
Micaville,NC,35.90956,-82.21318
Michfield,NC,35.57819,-79.7767
Micro,NC,35.56377,-78.20444
Middle Fork,NC,35.11733,-82.82374
Middle River,NC,34.04489,-78.27944
Middlebrook,NC,36.0068,-80.397
Middleburg,NC,36.39959,-78.3225
Middlesex,NC,35.79016,-78.20388
Middletown,NC,35.47823,-76.01213
Middleton Heights,NC,34.78155,-79.46199
Midland,NC,35.22737,-80.50062
Midpine,NC,35.20874,-81.38758
Midtown,NC,35.15794,-79.41309
Midway,NC,35.90735,-81.11869
Midway Park,NC,34.726,-77.34135
Midwood,NC,35.22403,-80.80507
Milburnie,NC,35.79598,-78.53445
Mildred,NC,35.84849,-77.49053
Miles,NC,36.08625,-79.22641
Miles Crossroad,NC,35.9468,-79.88781
Milford Hills,NC,35.68931,-80.50339
Milford Knoll,NC,35.69597,-80.50062
Milford Terrace,NC,35.68875,-80.51645
Mill Brook,NC,36.15375,-80.37811
Mill Corner,NC,35.33539,-82.35428
Mill Bridge,NC,35.64681,-80.63729
Mill Creek,NC,36.31929,-81.56372
Mill Crossroads,NC,36.2221,-76.668
Mill Hill (historical),NC,35.46792,-80.70396
Mill Grove,NC,36.05098,-78.90362
Mill Pond Meadows,NC,34.83905,-77.4633
Mill Pond Village,NC,34.84016,-77.46608
Mill Ridge,NC,36.13874,-81.77261
Mill Seat Landing,NC,35.29656,-76.58465
Mill Spring,NC,35.29762,-82.16122
Millbrook,NC,35.85098,-78.60528
Millbrook Estates,NC,35.24539,-82.74374
Millboro,NC,35.79986,-79.74808
Millennium,NC,36.24877,-77.09385
Millers Creek,NC,36.1893,-81.23759
Millers Store,NC,35.93572,-76.97384
Millersville,NC,35.85569,-81.18342
Millerton (historical),NC,35.52514,-80.24561
Millesville,NC,36.30791,-79.4153
Millingport,NC,35.3807,-80.30506
Mills Ridge,NC,35.88794,-76.1577
Mills River,NC,35.38845,-82.56679
Milton,NC,36.53903,-79.20863
Milwaukee,NC,36.40543,-77.23219
Mimosa Park,NC,35.39572,-77.92471
Mimosa Shores,NC,35.51961,-77.01745
Milltown,NC,35.31009,-83.81546
Mine Mountain Estates,NC,35.28817,-82.69235
Mineral Springs,NC,34.94404,-80.24117
Mingo,NC,35.1885,-78.56835
Mineral Spring (historical),NC,35.41708,-81.01174
Minnesott Beach,NC,34.96877,-76.8116
Minneapolis,NC,36.09929,-81.98706
Minpro,NC,35.92846,-82.08678
Minnie Bert,NC,35.69988,-77.34524
Mint Hollow,NC,35.17487,-80.66229
Mintonsville,NC,36.34293,-76.63578
Mintz,NC,34.89406,-78.47723
Mint Hill,NC,35.17959,-80.64729
Miranda (historical),NC,35.59403,-80.65312
Mirror Park,NC,35.63514,-80.46089
Misenheimer,NC,35.48486,-80.28839
Mission,NC,35.0712,-83.9299
Mitchell Aire,NC,35.79458,-80.83313
Mitchell Village,NC,34.72822,-76.7916
Mitchells Fork,NC,36.35016,-76.63606
Mitchiners Crossroads,NC,36.12321,-78.39222
Mobile Home Estates,NC,35.92293,-77.58219
Mobile City Trailer Park,NC,35.99182,-77.76803
Mocksville,NC,35.89403,-80.56145
Moffitt Hill,NC,35.60568,-82.17595
Mollie,NC,34.15128,-78.74057
Moltonville,NC,34.991,-78.25055
Momford Landing,NC,34.72766,-77.4058
Momeyer,NC,35.96126,-78.05693
Moncure,NC,35.62265,-79.07835
Money Island Beach,NC,34.69711,-76.72104
Monbo,NC,35.6643,-80.97841
Monogram,NC,33.93934,-78.35472
Monroe,NC,34.98543,-80.54951
Monroeton,NC,36.28958,-79.73475
Monroetown,NC,35.21877,-79.44503
Montague,NC,34.43378,-78.0661
Montclair,NC,34.75933,-77.32774
Montclaire,NC,35.15487,-80.86952
Montclaire South,NC,35.14792,-80.88841
Monteith (historical),NC,35.31375,-80.70951
Monks Crossroads,NC,35.20683,-78.33667
Montezuma,NC,36.06513,-81.90261
Montford Hills,NC,35.60456,-82.57402
Montford Point,NC,34.72433,-77.41441
Monticello,NC,36.2193,-79.67781
Monticello (historical),NC,35.76572,-76.73633
Monticello Heights,NC,35.8093,-80.92507
Monticello Woods,NC,35.23958,-81.12063
Montreat,NC,35.64428,-82.3029
Montrose,NC,35.04266,-79.33559
Montview,NC,36.14014,-80.23644
Montwood,NC,36.44459,-78.95668
Monterey Park,NC,35.29708,-81.14286
Moores (historical),NC,35.75541,-81.08786
Moores Beach,NC,35.39878,-76.62298
Moores Chapel,NC,35.6821,-78.19
Moores Corner,NC,35.046,-76.69104
Moores Crossroads,NC,35.67794,-78.16944
Moores Springs,NC,36.42125,-80.28894
Mooresboro,NC,35.29874,-81.69899
Mooresville,NC,35.58486,-80.81007
Mooretown,NC,34.41378,-77.82721
Moratuc (historical),NC,35.85738,-76.77633
Moravian Falls,NC,36.0968,-81.18231
Morehead City,NC,34.72294,-76.72604
Moretz,NC,36.26513,-81.62038
Morgan Creek Hills,NC,35.88764,-79.05446
Morgan Ford,NC,35.58597,-80.2245
Morgan Heights,NC,35.2215,-82.7154
Morgans Corners,NC,36.41738,-76.34911
Morganton,NC,35.74541,-81.68482
Morgantown,NC,36.12208,-79.42891
Moriah,NC,36.25764,-78.82945
Morlan Park,NC,35.62931,-80.46006
Morning Star,NC,35.51288,-82.81485
Morning Star Acres,NC,35.15792,-80.7184
Morningside Manor,NC,36.07708,-80.2031
Morris Park,NC,35.15348,-80.68146
Morrisons Store,NC,35.69461,-76.63355
Morrisville,NC,35.82348,-78.82556
Morrows (historical),NC,35.11376,-80.88091
Morse,NC,36.51849,-76.16632
Mortimer,NC,35.98541,-81.76122
Morton Manor,NC,34.80738,-77.38302
Morton Fork,NC,34.8246,-77.2294
Morven,NC,34.86404,-80.00117
Moss Hill,NC,35.19627,-77.74637
Moss Neck,NC,34.66739,-79.15281
Mother Vineyard,NC,35.92211,-75.67351
Motleta,NC,35.73403,-79.95698
Moulton,NC,36.17154,-78.25222
Mount Airy,NC,36.4993,-80.60729
Mount Bolus,NC,35.92875,-79.05223
Mount Energy,NC,36.12542,-78.64139
Mount Gallows,NC,36.41793,-76.94774
Mount Gilead,NC,36.26818,-81.909
Mount Gould,NC,36.1196,-76.763
Mount Gould Landing,NC,36.12349,-76.743
Mount Herman,NC,35.88152,-81.48259
Mount Holly,NC,35.29819,-81.01591
Mount Mitchell,NC,35.49653,-80.5534
Mount Mourne,NC,35.54319,-80.8473
Mount Olive,NC,34.58823,-78.58668
Mount Pilgrim,NC,36.00988,-77.33608
Mount Pisgah (historical),NC,35.46846,-81.88593
Mount Pleasant,NC,36.05207,-81.95539
Mount Rose,NC,36.25627,-76.6705
Mount Sinai,NC,35.20096,-81.60009
Mount Sterling,NC,35.76204,-83.10376
Mount Tabor,NC,36.11903,-80.3195
Mount Tirzah,NC,36.28014,-78.90695
Mount Ulla,NC,35.65847,-80.72674
Mount Valley,NC,35.28595,-82.294
Mount Vernon,NC,35.78764,-80.64673
Mount Vernon Park,NC,35.26822,-77.63775
Mount Vernon Springs,NC,35.66792,-79.4253
Mount View Estates,NC,36.41403,-79.94087
Mount Zion,NC,36.50846,-81.28454
Mountain Brook,NC,35.13598,-80.82563
Mountain Grove,NC,35.21982,-83.25793
Mountain Home,NC,35.36956,-82.4929
Mountain Home (historical),NC,35.57513,-81.84566
Mountain Island,NC,35.33347,-80.99952
Mountain Lake Camp,NC,35.29512,-82.47345
Mountain Manor,NC,36.21263,-81.16314
Mountain Page,NC,35.20984,-82.36817
Mountain Park,NC,36.3743,-80.85479
Mountain Valley,NC,35.21651,-82.48623
Mountain View,NC,35.47234,-82.50401
Mountain View Development,NC,35.86596,-81.49676
Mountain View Estates,NC,35.72208,-80.29811
Mountainbrook,NC,35.59845,-82.52901
Moxley,NC,36.3293,-81.09203
Moyle Heights,NC,35.62847,-80.45756
Moyock,NC,36.5246,-76.17827
Mud Castle,NC,36.37015,-77.53109
Muddy Creek,NC,36.02708,-80.34366
Muddy Cross,NC,36.36377,-76.62745
Mulberry,NC,36.03457,-81.6451
Mullins Crossroads,NC,36.10043,-77.47136
